"entrez_id"	"final_symbol"	"ENSG_id"	"gene_symbol"	"Gencode_symbol"	"Aliase"
"28976"	"ACAD9"	"ENSG00000177646"	"ACAD9"	"ACAD9"	"MC1DN20|NPD002|ACAD9"
"33"	"ACADL"	"ENSG00000115361"	"ACADL"	"ACADL"	"ACAD4|LCAD|ACADL"
"34"	"ACADM"	"ENSG00000117054"	"ACADM"	"ACADM"	"ACAD1|MCAD|MCADH|ACADM"
"35"	"ACADS"	"ENSG00000122971"	"ACADS"	"ACADS"	"ACAD3|SCAD|ACADS"
"36"	"ACADSB"	"ENSG00000196177"	"ACADSB"	"ACADSB"	"2-MEBCAD|ACAD7|SBCAD|ACADSB"
"37"	"ACADVL"	"ENSG00000072778"	"ACADVL"	"ACADVL"	"ACAD6|LCACD|VLCAD|ACADVL"
"176"	"ACAN"	"ENSG00000157766"	"ACAN"	"ACAN"	"AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD|ACAN"
"23527"	"ACAP2"	"ENSG00000114331"	"ACAP2"	"ACAP2"	"CENTB2|CNT-B2|ACAP2"
"116983"	"ACAP3"	"ENSG00000131584"	"ACAP3"	"ACAP3"	"CENTB5|ACAP3"
"38"	"ACAT1"	"ENSG00000075239"	"ACAT1"	"ACAT1"	"ACAT|MAT|T2|THIL|ACAT1"
"39"	"ACAT2"	"ENSG00000120437"	"ACAT2"	"ACAT2"	"ACAT2"
"64746"	"ACBD3"	"ENSG00000182827"	"ACBD3"	"ACBD3"	"GCP60|GOCAP1|GOLPH1|PAP7|ACBD3"
"79777"	"ACBD4"	"ENSG00000181513"	"ACBD4"	"ACBD4"	"HMFT0700|ACBD4"
"91452"	"ACBD5"	"ENSG00000107897"	"ACBD5"	"ACBD5"	"RDLKD|ACBD5"
"84320"	"ACBD6"	"ENSG00000230124"	"ACBD6"	"ACBD6"	"ACBD6"
"100527964"	"ACBD6"	"ENSG00000230124"	"LHX4-AS1"	"ACBD6"	"ACBD6"
"414149"	"ACBD7"	"ENSG00000176244"	"ACBD7"	"ACBD7"	"bA455B2.2|ACBD7"
"84680"	"ACCS"	"ENSG00000110455"	"ACCS"	"ACCS"	"ACS|PHACS|ACCS"
"390110"	"ACCSL"	"ENSG00000205126"	"ACCSL"	"ACCSL"	"ACCSL"
"65057"	"ACD"	"ENSG00000102977"	"ACD"	"ACD"	"PIP1|PTOP|TINT1|TPP1|ACD"
"1636"	"ACE"	"ENSG00000159640"	"ACE"	"ACE"	"ACE1|CD143|DCP|DCP1|ACE"
"59272"	"ACE2"	"ENSG00000130234"	"ACE2"	"ACE2"	"ACEH|ACE2"
"104798195"	"ACE2-DT"	"ENSG00000225833"	"ACE2-DT"	"ACE2-DT"	"GS1-594A7.3|ACE2-DT"
"125981"	"ACER1"	"ENSG00000167769"	"ACER1"	"ACER1"	"ALKCDase1|ASAH3|ACER1"
"55331"	"ACER3"	"ENSG00000078124"	"ACER3"	"ACER3"	"APHC|PHCA|PLDECO|ACER3"
"43"	"ACHE"	"ENSG00000087085"	"ACHE"	"ACHE"	"ACEE|ARACHE|N-ACHE|YT|ACHE"
"22985"	"ACIN1"	"ENSG00000100813"	"ACIN1"	"ACIN1"	"ACINUS|ACN|fSAP152|ACIN1"
"2532"	"ACKR1"	"ENSG00000213088"	"ACKR1"	"ACKR1"	"CCBP1|CD234|DARC|DARC/ACKR1|Dfy|FY|GPD|GpFy|WBCQ1|ACKR1"
"1238"	"ACKR2"	"ENSG00000144648"	"ACKR2"	"ACKR2"	"CCBP2|CCR10|CCR9|CMKBR9|D6|hD6|ACKR2"
"57007"	"ACKR3"	"ENSG00000144476"	"ACKR3"	"ACKR3"	"CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1|ACKR3"
"51554"	"ACKR4"	"ENSG00000129048"	"ACKR4"	"ACKR4"	"CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCRL1|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1|ACKR4"
"47"	"ACLY"	"ENSG00000131473"	"ACLY"	"ACLY"	"ACL|ATPCL|CLATP|ACLY"
"130013"	"ACMSD"	"ENSG00000153086"	"ACMSD"	"ACMSD"	"ACMSD"
"48"	"ACO1"	"ENSG00000122729"	"ACO1"	"ACO1"	"ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1|ACO1"
"50"	"ACO2"	"ENSG00000100412"	"ACO2"	"ACO2"	"ACONM|HEL-S-284|ICRD|OCA8|OPA9|ACO2"
"730249"	"ACOD1"	"ENSG00000102794"	"ACOD1"	"ACOD1"	"CAD|IRG1|ACOD1"
"641371"	"ACOT1"	"ENSG00000184227"	"ACOT1"	"ACOT1"	"ACH2|CTE-1|LACH2|ACOT1"
"26027"	"ACOT11"	"ENSG00000162390"	"ACOT11"	"ACOT11"	"BFIT|STARD14|THEA|THEM1|ACOT11"
"134526"	"ACOT12"	"ENSG00000172497"	"ACOT12"	"ACOT12"	"CACH-1|Cach|STARD15|THEAL|ACOT12"
"55856"	"ACOT13"	"ENSG00000112304"	"ACOT13"	"ACOT13"	"HT012|PNAS-27|THEM2|ACOT13"
"10965"	"ACOT2"	"ENSG00000119673"	"ACOT2"	"ACOT2"	"CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128|ACOT2"
"122970"	"ACOT4"	"ENSG00000177465"	"ACOT4"	"ACOT4"	"PTE-Ib|PTE1B|PTE2B|ACOT4"
"641372"	"ACOT6"	"ENSG00000205669"	"ACOT6"	"ACOT6"	"C14orf42|c14_5530|ACOT6"
"11332"	"ACOT7"	"ENSG00000097021"	"ACOT7"	"ACOT7"	"ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH|ACOT7"
"10005"	"ACOT8"	"ENSG00000101473"	"ACOT8"	"ACOT8"	"HNAACTE|NAP1|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE|ACOT8"
"23597"	"ACOT9"	"ENSG00000123130"	"ACOT9"	"ACOT9"	"ACATE2|CGI-16|MT-ACT48|MTACT48|ACOT9"
"51"	"ACOX1"	"ENSG00000161533"	"ACOX1"	"ACOX1"	"ACOX|MITCH|PALMCOX|SCOX|ACOX1"
"8309"	"ACOX2"	"ENSG00000168306"	"ACOX2"	"ACOX2"	"BCOX|BRCACOX|BRCOX|CBAS6|THCCox|ACOX2"
"8310"	"ACOX3"	"ENSG00000087008"	"ACOX3"	"ACOX3"	"ACOX3"
"55289"	"ACOXL"	"ENSG00000153093"	"ACOXL"	"ACOXL"	"ACOXL"
"400997"	"ACOXL-AS1"	"ENSG00000204581"	"ACOXL-AS1"	"ACOXL-AS1"	"ACOXL-AS1"
"52"	"ACP1"	"ENSG00000143727"	"ACP1"	"ACP1"	"HAAP|LMW-PTP|LMWPTP|ACP1"
"55"	"ACP3"	"ENSG00000014257"	"ACP3"	"ACP3"	"5'-NT|ACP-3|ACPP|TM-PAP|ACP3"
"93650"	"ACP4"	"ENSG00000142513"	"ACP4"	"ACP4"	"ACPT|AI1J|ACP4"
"54"	"ACP5"	"ENSG00000102575"	"ACP5"	"ACP5"	"HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase|ACP5"
"51205"	"ACP6"	"ENSG00000162836"	"ACP6"	"ACP6"	"ACPL1|LPAP|PACPL1|ACP6"
"390928"	"ACP7"	"ENSG00000183760"	"ACP7"	"ACP7"	"PAPL|PAPL1|ACP7"
"49"	"ACR"	"ENSG00000100312"	"ACR"	"ACR"	"ACR"
"84519"	"ACRBP"	"ENSG00000111644"	"ACRBP"	"ACRBP"	"CT23|OY-TES-1|SP32|ACRBP"
"56"	"ACRV1"	"ENSG00000134940"	"ACRV1"	"ACRV1"	"D11S4365|SP-10|SPACA2|ACRV1"
"23205"	"ACSBG1"	"ENSG00000103740"	"ACSBG1"	"ACSBG1"	"BG|BG1|BGM|GR-LACS|LPD|ACSBG1"
"81616"	"ACSBG2"	"ENSG00000130377"	"ACSBG2"	"ACSBG2"	"BGR|BRGL|PRTD-NY3|PRTDNY3|ACSBG2"
"80221"	"ACSF2"	"ENSG00000167107"	"ACSF2"	"ACSF2"	"ACSMW|AVYV493|ACSF2"
"197322"	"ACSF3"	"ENSG00000176715"	"ACSF3"	"ACSF3"	"ACSF3"
"2180"	"ACSL1"	"ENSG00000151726"	"ACSL1"	"ACSL1"	"ACS1|FACL1|FACL2|LACS|LACS1|LACS2|ACSL1"
"2181"	"ACSL3"	"ENSG00000123983"	"ACSL3"	"ACSL3"	"ACS3|FACL3|LACS 3|LACS3|PRO2194|ACSL3"
"2182"	"ACSL4"	"ENSG00000068366"	"ACSL4"	"ACSL4"	"ACS4|FACL4|LACS4|MRX63|MRX68|XLID63|ACSL4"
"51703"	"ACSL5"	"ENSG00000197142"	"ACSL5"	"ACSL5"	"ACS2|ACS5|FACL5|ACSL5"
"23305"	"ACSL6"	"ENSG00000164398"	"ACSL6"	"ACSL6"	"ACS2|FACL6|LACS 6|LACS2|LACS5|ACSL6"
"101927693"	"ACSL6-AS1"	"ENSG00000223548"	"ACSL6-AS1"	"ACSL6-AS1"	"ACSL6-AS1"
"116285"	"ACSM1"	"ENSG00000166743"	"ACSM1"	"ACSM1"	"BUCS1|MACS1|ACSM1"
"123876"	"ACSM2A"	"ENSG00000183747"	"ACSM2A"	"ACSM2A"	"A-923A4.1|ACSM2|ACSM2A"
"348158"	"ACSM2B"	"ENSG00000066813"	"ACSM2B"	"ACSM2B"	"ACSM2|HXMA|HYST1046|ACSM2B"
"6296"	"ACSM3"	"ENSG00000005187"	"ACSM3"	"ACSM3"	"SA|SAH|ACSM3"
"341392"	"ACSM4"	"ENSG00000215009"	"ACSM4"	"ACSM4"	"ACSM4"
"54988"	"ACSM5"	"ENSG00000183549"	"ACSM5"	"ACSM5"	"ACSM5"
"142827"	"ACSM6"	"ENSG00000173124"	"ACSM6"	"ACSM6"	"C10orf129|bA310E22.3|ACSM6"
"84532"	"ACSS1"	"ENSG00000154930"	"ACSS1"	"ACSS1"	"ACAS2L|ACECS1|AceCS2L|ACSS1"
"55902"	"ACSS2"	"ENSG00000131069"	"ACSS2"	"ACSS2"	"ACAS2|ACECS|ACS|ACSA|AceCS1|dJ1161H23.1|ACSS2"
"79611"	"ACSS3"	"ENSG00000111058"	"ACSS3"	"ACSS3"	"ACSS3"
"58"	"ACTA1"	"ENSG00000143632"	"ACTA1"	"ACTA1"	"ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM|ACTA1"
"59"	"ACTA2"	"ENSG00000107796"	"ACTA2"	"ACTA2"	"ACTSA|ACTA2"
"60"	"ACTB"	"ENSG00000075624"	"ACTB"	"ACTB"	"BRWS1|PS1TP5BP1|ACTB"
