gene_name	expression
AC006441.5	0
AC006445.1	0
AC006445.2	0
AC006445.3	0
AC006449.1	0
AC006449.2	0
AC006449.3	1
AC006449.5	0
AC006449.6	7
AC006449.7	0
AC006450.1	0
AC006450.2	0
AC006450.3	0
AC006452.1	0
AC006453.1	0
AC006453.2	17
AC006453.3	0
AC006453.4	0
AC006453.5	0
AC006455.1	0
AC006455.2	0
AC006455.3	0
AC006455.4	0
AC006455.5	0
AC006455.6	0
AC006455.7	0
AC006455.8	0
AC006457.1	0
AC006458.1	0
AC006459.1	0
AC006460.1	1
AC006460.2	3
AC006461.1	0
AC006463.1	0
AC006466.1	0
AC006478.1	0
AC006478.2	1
AC006480.1	0
AC006480.2	7
AC006482.1	0
AC006483.1	0
AC006483.2	1
AC006484.1	0
AC006486.1	0
AC006486.2	3
AC006487.1	0
AC006487.2	2
AC006499.1	0
AC006499.2	0
AC006499.3	0
AC006499.4	0
AC006499.5	0
AC006499.6	0
AC006499.7	0
AC006499.8	0
AC006504.1	6
AC006504.2	0
AC006504.3	1
AC006504.4	1
AC006504.5	52
AC006504.6	0
AC006504.7	0
AC006509.1	0
AC006509.2	1
AC006511.1	0
AC006511.2	0
AC006511.3	21
AC006511.4	0
AC006511.5	3
AC006511.6	0
AC006512.1	0
AC006512.2	0
AC006517.1	0
AC006517.2	0
AC006518.1	4
AC006518.2	4
AC006518.7	0
AC006525.1	0
AC006529.1	3
AC006530.1	0
AC006538.1	394
AC006538.2	2
AC006538.3	0
AC006538.4	6
AC006538.5	0
AC006539.1	0
AC006539.2	0
AC006539.3	0
AC006547.1	0
AC006547.2	10
AC006547.3	0
AC006548.1	0
AC006548.2	0
AC006548.3	0
AC006557.1	0
AC006557.2	1
AC006557.3	0
AC006557.4	0
AC006557.5	0
AC006557.6	0
AC006566.1	0
AC006566.2	0
AC006581.1	0
AC006581.2	1
AC006600.1	0
AC006600.2	0
AC006840.1	0
AC006924.1	0
AC006927.1	0
AC006927.2	0
