[gene_name]	expression
AC005592.1	1
AC005592.2	1
AC005593.1	16
AC005594.1	3
AC005597.1	0
AC005599.1	1
AC005606.1	1
AC005606.2	1
AC005609.1	1
AC005609.2	0
AC005609.3	0
AC005609.4	1
AC005609.5	0
AC005614.1	3
AC005614.2	0
AC005616.1	0
AC005618.1	12
AC005618.2	1
AC005618.3	0
AC005618.4	14
AC005622.1	2
AC005625.1	0
AC005632.1	0
AC005632.2	71
AC005632.3	0
AC005632.4	2
AC005632.5	2
AC005666.1	1
AC005670.1	3
AC005670.2	0
AC005670.3	602
AC005674.1	1
AC005674.2	391
AC005682.1	1
AC005682.2	1
AC005691.1	0
AC005692.1	0
AC005692.2	0
AC005692.3	2
AC005695.1	6
AC005695.2	0
AC005695.3	8
AC005696.1	14
AC005696.2	0
AC005696.3	59
AC005696.4	7
AC005697.1	0
AC005697.2	0
AC005697.3	0
AC005699.1	2
AC005702.1	0
AC005702.2	9
AC005702.3	0
AC005702.4	1
AC005702.5	0
AC005703.1	0
AC005703.2	1
AC005703.3	0
AC005703.4	1
AC005703.5	0
AC005703.6	0
AC005703.7	0
AC005722.1	0
AC005722.2	2
AC005722.3	0
AC005725.1	0
AC005726.1	96
AC005726.2	0
AC005726.3	9
AC005726.4	0
AC005726.5	9
AC005730.1	0
AC005730.2	0
AC005730.3	11
AC005736.1	26
AC005736.2	1
AC005740.1	0
AC005740.2	0
AC005740.3	0
AC005740.4	12
AC005740.5	1
AC005741.1	0
AC005746.1	8
AC005746.2	0
AC005746.3	0
AC005747.1	6098
AC005753.1	0
AC005753.2	1
AC005753.3	2
AC005757.1	0
AC005758.1	3
AC005759.1	4
AC005759.2	4
AC005771.1	0
AC005772.1	0
AC005772.2	1
AC005774.1	0
AC005775.1	1
AC005776.1	67
AC005776.2	37
AC005777.1	0
AC005785.1	41
AC005785.2	68
AC005786.1	0
AC005786.2	11
AC005786.3	75
AC005786.4	0
AC005789.1	28
AC005790.1	0
AC005796.1	0
AC005798.1	0
AC005803.1	0
AC005808.1	0
AC005821.1	1
AC005821.2	0
AC005822.1	20
AC005823.1	0
AC005823.2	1
AC005828.1	0
AC005828.2	0
AC005828.3	1
AC005828.4	0
AC005828.5	1
AC005828.6	3
AC005828.7	1
AC005829.1	2
AC005829.2	6
AC005831.1	134
AC005832.1	0
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	1
AC005833.2	96
AC005837.1	17
AC005837.2	0
AC005837.3	2
AC005838.1	0
AC005838.2	7
AC005839.1	245
AC005840.1	84
AC005840.2	8
